//时间,开盘价,最高价,最低价,收盘价,成交量,持仓量
2018/10/16 00:00,18915,18915,18865,18870,1232,54886
2018/10/16 00:05,18870,18890,18855,18880,634,54826
2018/10/16 00:10,18875,18880,18860,18870,262,54832
2018/10/16 00:15,18870,18880,18850,18880,452,54834
2018/10/16 00:20,18875,18885,18870,18880,156,54788
2018/10/16 00:25,18875,18880,18855,18855,236,54748
2018/10/16 00:30,18860,18865,18855,18860,138,54726
2018/10/16 00:35,18865,18865,18830,18835,552,54668
2018/10/16 00:40,18830,18845,18820,18835,246,54626
2018/10/16 00:45,18835,18840,18830,18835,144,54624
2018/10/16 00:50,18830,18835,18825,18830,180,54584
2018/10/16 00:55,18830,18850,18800,18800,834,54256
2018/10/16 09:00,18820,18875,18805,18875,1314,54176
2018/10/16 09:05,18870,18875,18850,18865,562,54208
2018/10/16 09:10,18870,18870,18825,18825,774,54356
2018/10/16 09:15,18825,18835,18775,18780,792,54254
2018/10/16 09:20,18780,18790,18750,18770,1316,54116
2018/10/16 09:25,18775,18810,18770,18785,552,54092
2018/10/16 09:30,18785,18790,18770,18790,426,54066
2018/10/16 09:35,18785,18790,18775,18780,464,54010
2018/10/16 09:40,18785,18785,18745,18750,758,53784
2018/10/16 09:45,18750,18795,18750,18790,532,53836
2018/10/16 09:50,18785,18795,18770,18790,274,53852
2018/10/16 09:55,18790,18820,18790,18805,222,53846
2018/10/16 10:00,18805,18815,18800,18815,290,53800
2018/10/16 10:05,18815,18830,18815,18825,314,53752
2018/10/16 10:10,18830,18850,18825,18850,358,53652
2018/10/16 10:30,18845,18850,18835,18840,542,53696
2018/10/16 10:35,18845,18865,18840,18855,660,53686
2018/10/16 10:40,18850,18865,18850,18855,198,53650
2018/10/16 10:45,18855,18865,18845,18850,410,53638
2018/10/16 10:50,18855,18860,18850,18850,206,53584
2018/10/16 10:55,18850,18850,18840,18840,198,53612
2018/10/16 11:00,18845,18855,18840,18850,236,53622
2018/10/16 11:05,18850,18855,18835,18835,280,53564
2018/10/16 11:10,18840,18855,18825,18830,196,53552
2018/10/16 11:15,18830,18830,18805,18815,714,53618
2018/10/16 11:20,18810,18810,18780,18795,488,53498
2018/10/16 11:25,18790,18820,18760,18785,590,53304
2018/10/16 13:30,18780,18815,18780,18815,458,53346
2018/10/16 13:35,18810,18815,18780,18780,430,53224
2018/10/16 13:40,18775,18780,18770,18770,436,53284
2018/10/16 13:45,18770,18770,18750,18760,500,53340
2018/10/16 13:50,18755,18765,18755,18765,382,53276
2018/10/16 13:55,18755,18785,18750,18770,418,53304
2018/10/16 14:00,18770,18780,18750,18750,438,53356
2018/10/16 14:05,18750,18755,18715,18730,968,53414
2018/10/16 14:10,18730,18755,18720,18740,1050,53044
2018/10/16 14:15,18740,18770,18735,18745,524,53028
2018/10/16 14:20,18745,18750,18730,18745,308,53020
2018/10/16 14:25,18745,18785,18745,18780,608,52968
2018/10/16 14:30,18775,18795,18765,18780,772,52876
2018/10/16 14:35,18780,18795,18780,18795,508,52850
